nohup: 忽略输入
30246
Reading training data...
Reading validation data...
Epoch [1/5]
Iter:   8400,  Train Loss: 0.011,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 93.47%,  Time: 8:31:18 
Iter:   8500,  Train Loss: 0.045,  Train Acc: 100.00%,  Val Loss:  0.24,  Val Acc: 94.05%,  Time: 8:37:24 
Iter:   8600,  Train Loss:   0.2,  Train Acc: 87.50%,  Val Loss:  0.23,  Val Acc: 93.82%,  Time: 8:43:31 
Iter:   8700,  Train Loss:  0.25,  Train Acc: 87.50%,  Val Loss:  0.23,  Val Acc: 94.26%,  Time: 8:49:42 *
Iter:   8800,  Train Loss:  0.11,  Train Acc: 100.00%,  Val Loss:  0.22,  Val Acc: 94.18%,  Time: 8:55:48 
Iter:   8900,  Train Loss: 0.019,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 93.98%,  Time: 9:01:55 
Iter:   9000,  Train Loss: 0.0075,  Train Acc: 100.00%,  Val Loss:  0.22,  Val Acc: 94.41%,  Time: 9:08:05 *
Epoch [4/5]
Iter:   9100,  Train Loss:  0.18,  Train Acc: 87.50%,  Val Loss:  0.23,  Val Acc: 94.18%,  Time: 9:14:12 
Iter:   9200,  Train Loss: 0.019,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 94.15%,  Time: 9:20:19 
Iter:   9300,  Train Loss: 0.011,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 94.11%,  Time: 9:26:24 
Iter:   9400,  Train Loss: 0.0075,  Train Acc: 100.00%,  Val Loss:  0.22,  Val Acc: 94.28%,  Time: 9:32:31 
Iter:   9500,  Train Loss: 0.0037,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 94.21%,  Time: 9:38:39 
Iter:   9600,  Train Loss: 0.0097,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.15%,  Time: 9:44:47 
Iter:   9700,  Train Loss: 0.023,  Train Acc: 100.00%,  Val Loss:  0.24,  Val Acc: 94.13%,  Time: 9:50:54 
Iter:   9800,  Train Loss: 0.0054,  Train Acc: 100.00%,  Val Loss:  0.24,  Val Acc: 94.25%,  Time: 9:57:00 
Iter:   9900,  Train Loss: 0.0043,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.20%,  Time: 10:03:08 
Iter:  10000,  Train Loss:   0.2,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 94.36%,  Time: 10:09:13 
Iter:  10100,  Train Loss: 0.0027,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.40%,  Time: 10:15:21 
Iter:  10200,  Train Loss: 0.0019,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.40%,  Time: 10:21:27 
Iter:  10300,  Train Loss: 0.004,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 94.20%,  Time: 10:27:31 
Iter:  10400,  Train Loss: 0.0057,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.25%,  Time: 10:33:37 
Iter:  10500,  Train Loss:  0.05,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.36%,  Time: 10:39:42 
Iter:  10600,  Train Loss: 0.005,  Train Acc: 100.00%,  Val Loss:  0.24,  Val Acc: 94.38%,  Time: 10:45:48 
Iter:  10700,  Train Loss:   1.1,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 94.48%,  Time: 10:51:57 *
Iter:  10800,  Train Loss: 0.0062,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.31%,  Time: 10:58:03 
Iter:  10900,  Train Loss: 0.009,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.59%,  Time: 11:04:13 *
Iter:  11000,  Train Loss:   0.7,  Train Acc: 87.50%,  Val Loss:  0.26,  Val Acc: 94.45%,  Time: 11:10:18 
Iter:  11100,  Train Loss:  0.54,  Train Acc: 87.50%,  Val Loss:  0.24,  Val Acc: 94.15%,  Time: 11:16:23 
Iter:  11200,  Train Loss:  0.56,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 94.54%,  Time: 11:22:29 
Iter:  11300,  Train Loss:  0.68,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 94.69%,  Time: 11:28:40 *
Iter:  11400,  Train Loss: 0.0049,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 94.51%,  Time: 11:34:48 
Iter:  11500,  Train Loss:  0.14,  Train Acc: 87.50%,  Val Loss:  0.26,  Val Acc: 94.45%,  Time: 11:40:54 
Iter:  11600,  Train Loss: 0.022,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.41%,  Time: 11:47:02 
Iter:  11700,  Train Loss: 0.023,  Train Acc: 100.00%,  Val Loss:  0.24,  Val Acc: 94.56%,  Time: 11:53:07 
Iter:  11800,  Train Loss: 0.038,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.38%,  Time: 11:59:15 
Iter:  11900,  Train Loss: 0.0044,  Train Acc: 100.00%,  Val Loss:  0.24,  Val Acc: 94.71%,  Time: 12:05:24 *
Iter:  12000,  Train Loss:  0.31,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 94.45%,  Time: 12:11:30 
Epoch [5/5]
Iter:  12100,  Train Loss: 0.011,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 94.53%,  Time: 12:17:35 
Iter:  12200,  Train Loss:  0.21,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 94.45%,  Time: 12:23:42 
Iter:  12300,  Train Loss: 0.0028,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 94.35%,  Time: 12:29:45 
Iter:  12400,  Train Loss: 0.0034,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 94.25%,  Time: 12:35:51 
Iter:  12500,  Train Loss:  0.13,  Train Acc: 87.50%,  Val Loss:  0.27,  Val Acc: 94.25%,  Time: 12:41:57 
Iter:  12600,  Train Loss: 0.0047,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.35%,  Time: 12:48:01 
Iter:  12700,  Train Loss: 0.0094,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.45%,  Time: 12:54:06 
Iter:  12800,  Train Loss: 0.0058,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 94.28%,  Time: 13:00:11 
Iter:  12900,  Train Loss: 0.0081,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.23%,  Time: 13:06:19 
Iter:  13000,  Train Loss:  0.18,  Train Acc: 87.50%,  Val Loss:  0.29,  Val Acc: 93.98%,  Time: 13:12:23 
Iter:  13100,  Train Loss: 0.0041,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 94.33%,  Time: 13:18:29 
Iter:  13200,  Train Loss: 0.0025,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.43%,  Time: 13:24:34 
Iter:  13300,  Train Loss: 0.0029,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 94.48%,  Time: 13:30:40 
Iter:  13400,  Train Loss: 0.002,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.48%,  Time: 13:36:44 
Iter:  13500,  Train Loss: 0.0057,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.41%,  Time: 13:42:50 
